stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S010200087300100,屯田５条１１丁目,43.1326124912324,141.316395955998,Z008640,0,,,,,,,
S010200087300200,屯田５条１１丁目,43.1327513530193,141.316083476446,Z008640,0,,,,,,,
S010200087400100,６条東３丁目,43.2034434926007,141.770585778291,Z008650,0,,,,,,,
S010200087400200,６条東３丁目,43.2034087814915,141.770794094582,Z008650,0,,,,,,,
S010200087500100,６条橋,43.205188195577,141.774300605846,Z008660,0,,,,,,,
S010200087500200,６条橋,43.204771559924,141.77371040823,Z008660,0,,,,,,,
S010200087600100,６条東９丁目,43.206212435483,141.776071212655,Z008670,0,,,,,,,
S010200087600200,６条東９丁目,43.2058739222486,141.77568932435,Z008670,0,,,,,,,
S010200087700100,６条東１０丁目,43.2072366834437,141.778084852627,Z008680,0,,,,,,,
S010200087700200,６条東１０丁目,43.2066724870506,141.77721691196,Z008680,0,,,,,,,
S010200087800100,利根別会館,43.2081046888679,141.779751312029,Z008690,0,,,,,,,
S010200087800200,利根別会館,43.2075838922844,141.778952806726,Z008690,0,,,,,,,
S010200087900100,東光中学校,43.2096323813209,141.782771772507,Z008700,0,,,,,,,
S010200087900200,東光中学校,43.2091983843573,141.782112137929,Z008700,0,,,,,,,
S010200088000100,合同庁舎前,43.2107608074819,141.785514505512,Z008710,0,,,,,,,
S010200088000200,合同庁舎前,43.2100924374987,141.7840563479,Z008710,0,,,,,,,
S010200088100100,開発局前（岩見沢）,43.2114725922362,141.787493445791,Z008720,0,,,,,,,
S010200088100200,開発局前（岩見沢）,43.2112382330226,141.787111551044,Z008720,0,,,,,,,
S010200088200100,労災病院通り,43.2122711800706,141.78971541386,Z008730,0,,,,,,,
S010200088200200,労災病院通り,43.2119413348263,141.788986334788,Z008730,0,,,,,,,
S010200088300100,まむれ団地,43.2135558603059,141.793152517655,Z008740,0,,,,,,,
S010200088300200,まむれ団地,43.2133128261906,141.792909499544,Z008740,0,,,,,,,
S010200088400100,日の出台,43.2100407666458,141.796312166622,Z008750,0,,,,,,,
S010200088500100,さかえ公園,43.2198659630741,141.796311557826,Z008760,0,,,,,,,
S010200088500200,さかえ公園,43.2197618389746,141.7972142589,Z008760,0,,,,,,,
S010200088600100,栄町（岩見沢）,43.2208815787716,141.799748678243,Z008770,0,,,,,,,
S010200088600200,栄町（岩見沢）,43.2208381904698,141.800026433123,Z008770,0,,,,,,,
S010200088700100,新東町団地,43.2221921156732,141.797700174597,Z008780,0,,,,,,,
S010200088700200,新東町団地,43.222122668146,141.797352988663,Z008780,0,,,,,,,
S010200088800100,東町１条６丁目,43.222261445796,141.794506020115,Z008790,0,,,,,,,
S010200088800200,東町１条６丁目,43.2221659643676,141.794297711892,Z008790,0,,,,,,,
S010200088900100,望洋台,43.161453720078,141.027219627571,Z008060,0,,,,,,,
S010200088900200,望洋台,43.1615752296752,141.027115463214,Z008060,0,,,,,,,
S010200089000100,みつばち公園,43.1639187586253,141.029094303899,Z008070,0,,,,,,,
S010200089000200,みつばち公園,43.1637885684018,141.029163749787,Z008070,0,,,,,,,
S010200089100100,望洋台３丁目,43.1641272031204,141.033295289824,Z008080,0,,,,,,,
S010200089100200,望洋台３丁目,43.1640317297631,141.03333001461,Z008080,0,,,,,,,
S010200089200100,望洋台２丁目,43.1646307381731,141.037114348902,Z008090,0,,,,,,,
S010200089200200,望洋台２丁目,43.1644310995465,141.036801890042,Z008090,0,,,,,,,
S010200089400100,配水池前,43.1677033913117,141.040516624167,Z008110,0,,,,,,,
S010200089400200,配水池前,43.1674864027159,141.040481918336,Z008110,0,,,,,,,
